"dependent.var","numbers","repeat.var","Area","Governorate","Sector","research.question","Indicator","Percent","Percent_groups","Population Reference"
"e_1",0.37984496124031,"strata","Jabalya","North Gaza","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",38,"30% - 39%","HHs with school-aged children"
"e_1",0.345864661654135,"strata","Jabalya Camp","North Gaza","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",35,"30% - 39%","HHs with school-aged children"
"e_1",0.410714285714286,"strata","Juhor ad Dik","Gaza","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",41,"40% - 49%","HHs with school-aged children"
"e_1",0.396946564885496,"strata","Khan Yunis","Khan Younis","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",40,"40% - 49%","HHs with school-aged children"
"e_1",0.328,"strata","Khan Yunis Camp","Khan Younis","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",33,"30% - 39%","HHs with school-aged children"
"e_1",0.328,"strata","Khuza'a","Khan Younis","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",33,"30% - 39%","HHs with school-aged children"
"e_1",0.285714285714286,"strata","Madinat Ezahra","Gaza","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",29,"20% - 29%","HHs with school-aged children"
"e_1",0.354330708661417,"strata","Al Maghazi Camp","Deir Al-Balah","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",35,"30% - 39%","HHs with school-aged children"
"e_1",0.279069767441861,"strata","An Nuseirat Camp","Deir Al-Balah","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",28,"20% - 29%","HHs with school-aged children"
"e_1",0.380597014925373,"strata","Rafah","Rafah","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",38,"30% - 39%","HHs with school-aged children"
"e_1",0.34375,"strata","Rafah Camp","Rafah","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",34,"30% - 39%","HHs with school-aged children"
"e_1",0.275590551181102,"strata","Ash Shati' Camp","North Gaza","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",28,"20% - 29%","HHs with school-aged children"
