"dependent.var","numbers","repeat.var","repeat.var.value","Sector","Indicator","Sub-Indicator","Percent","Percent_groups","Population Reference"
"aap1",0.213903743,"strata","jerusalem_2_c","Accountability to Affected Populations (AAP)","% HH reporting to have received aid in the past 6 months","% HH reporting to have received aid in the past 6 months",21.39,"20% - 29%","Total Population"
"aap1",0.115942029,"strata","nablus_c","Accountability to Affected Populations (AAP)","% HH reporting to have received aid in the past 6 months","% HH reporting to have received aid in the past 6 months",11.59,"10% - 19%","Total Population"
"aap1",0.137440758,"strata","qalqiliya_c","Accountability to Affected Populations (AAP)","% HH reporting to have received aid in the past 6 months","% HH reporting to have received aid in the past 6 months",13.74,"10% - 19%","Total Population"
"aap1",0.142857143,"strata","ramallah_c","Accountability to Affected Populations (AAP)","% HH reporting to have received aid in the past 6 months","% HH reporting to have received aid in the past 6 months",14.29,"10% - 19%","Total Population"
"aap1",0.075117371,"strata","salfit_c","Accountability to Affected Populations (AAP)","% HH reporting to have received aid in the past 6 months","% HH reporting to have received aid in the past 6 months",7.51,"0% - 9%","Total Population"
"aap1",0.497382199,"strata","tubas_c","Accountability to Affected Populations (AAP)","% HH reporting to have received aid in the past 6 months","% HH reporting to have received aid in the past 6 months",49.74,"40% - 49%","Total Population"
"aap1",0.154205607,"strata","tulkarm_c","Accountability to Affected Populations (AAP)","% HH reporting to have received aid in the past 6 months","% HH reporting to have received aid in the past 6 months",15.42,"10% - 19%","Total Population"
"aap1",0.142857143,"strata","H2","Accountability to Affected Populations (AAP)","% HH reporting to have received aid in the past 6 months","% HH reporting to have received aid in the past 6 months",14.29,"10% - 19%","Total Population"
"aap1",0.125,"strata","Area_AB","Accountability to Affected Populations (AAP)","% HH reporting to have received aid in the past 6 months","% HH reporting to have received aid in the past 6 months",12.5,"10% - 19%","Total Population"
"aap1",0.131868132,"strata","bethlehem_c","Accountability to Affected Populations (AAP)","% HH reporting to have received aid in the past 6 months","% HH reporting to have received aid in the past 6 months",13.19,"10% - 19%","Total Population"
"aap1",0.098522167,"strata","hebron_c","Accountability to Affected Populations (AAP)","% HH reporting to have received aid in the past 6 months","% HH reporting to have received aid in the past 6 months",9.85,"0% - 9%","Total Population"
"aap1",0.107476636,"strata","jenin_c","Accountability to Affected Populations (AAP)","% HH reporting to have received aid in the past 6 months","% HH reporting to have received aid in the past 6 months",10.75,"10% - 19%","Total Population"
"aap1",0.25862069,"strata","jericho_c","Accountability to Affected Populations (AAP)","% HH reporting to have received aid in the past 6 months","% HH reporting to have received aid in the past 6 months",25.86,"20% - 29%","Total Population"
"aap1_a",NA,"strata","qalqiliya_c","Accountability to Affected Populations (AAP)","% HH reporting to have received aid since the beginning of the escalation in Gaza","% HH reporting to have received aid since the beginning of the escalation in Gaza",NA,NA,"Total Population"
"aap1_a",NA,"strata","ramallah_c","Accountability to Affected Populations (AAP)","% HH reporting to have received aid since the beginning of the escalation in Gaza","% HH reporting to have received aid since the beginning of the escalation in Gaza",NA,NA,"Total Population"
"aap1_a",NA,"strata","salfit_c","Accountability to Affected Populations (AAP)","% HH reporting to have received aid since the beginning of the escalation in Gaza","% HH reporting to have received aid since the beginning of the escalation in Gaza",NA,NA,"Total Population"
"aap1_a",NA,"strata","tubas_c","Accountability to Affected Populations (AAP)","% HH reporting to have received aid since the beginning of the escalation in Gaza","% HH reporting to have received aid since the beginning of the escalation in Gaza",NA,NA,"Total Population"
"aap1_a",NA,"strata","tulkarm_c","Accountability to Affected Populations (AAP)","% HH reporting to have received aid since the beginning of the escalation in Gaza","% HH reporting to have received aid since the beginning of the escalation in Gaza",NA,NA,"Total Population"
"aap1_a",NA,"strata","H2","Accountability to Affected Populations (AAP)","% HH reporting to have received aid since the beginning of the escalation in Gaza","% HH reporting to have received aid since the beginning of the escalation in Gaza",NA,NA,"Total Population"
"aap1_a",NA,"strata","hebron_c","Accountability to Affected Populations (AAP)","% HH reporting to have received aid since the beginning of the escalation in Gaza","% HH reporting to have received aid since the beginning of the escalation in Gaza",NA,NA,"Total Population"
"aap1_a",NA,"strata","jenin_c","Accountability to Affected Populations (AAP)","% HH reporting to have received aid since the beginning of the escalation in Gaza","% HH reporting to have received aid since the beginning of the escalation in Gaza",NA,NA,"Total Population"
"aap1_a",NA,"strata","Area_AB","Accountability to Affected Populations (AAP)","% HH reporting to have received aid since the beginning of the escalation in Gaza","% HH reporting to have received aid since the beginning of the escalation in Gaza",NA,NA,"Total Population"
"aap1_a",NA,"strata","bethlehem_c","Accountability to Affected Populations (AAP)","% HH reporting to have received aid since the beginning of the escalation in Gaza","% HH reporting to have received aid since the beginning of the escalation in Gaza",NA,NA,"Total Population"
"aap1_a",NA,"strata","nablus_c","Accountability to Affected Populations (AAP)","% HH reporting to have received aid since the beginning of the escalation in Gaza","% HH reporting to have received aid since the beginning of the escalation in Gaza",NA,NA,"Total Population"
"aap1_a",NA,"strata","jericho_c","Accountability to Affected Populations (AAP)","% HH reporting to have received aid since the beginning of the escalation in Gaza","% HH reporting to have received aid since the beginning of the escalation in Gaza",NA,NA,"Total Population"
"aap1_a",NA,"strata","jerusalem_2_c","Accountability to Affected Populations (AAP)","% HH reporting to have received aid since the beginning of the escalation in Gaza","% HH reporting to have received aid since the beginning of the escalation in Gaza",NA,NA,"Total Population"
"aap10",0.222222222,"strata","ramallah_c","Accountability to Affected Populations (AAP)","% HH reporting access/knowledge of complaint mechanisms ","% HH with access/knowledge of complaint mechanisms ",22.22,"20% - 29%","HHs reporting to have received aid"
"aap10",0,"strata","salfit_c","Accountability to Affected Populations (AAP)","% HH reporting access/knowledge of complaint mechanisms ","% HH with access/knowledge of complaint mechanisms ",0,"0% - 9%","HHs reporting to have received aid"
"aap10",0.063157895,"strata","tubas_c","Accountability to Affected Populations (AAP)","% HH reporting access/knowledge of complaint mechanisms ","% HH with access/knowledge of complaint mechanisms ",6.32,"0% - 9%","HHs reporting to have received aid"
"aap10",0.212121212,"strata","tulkarm_c","Accountability to Affected Populations (AAP)","% HH reporting access/knowledge of complaint mechanisms ","% HH with access/knowledge of complaint mechanisms ",21.21,"20% - 29%","HHs reporting to have received aid"
