"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"hh1","female_headed",NA,"female_headed",0.682849082006883,NA,0.54396702281004,0.821731141203725,"governorate_gaza","khan_yunis","hh1","male_headed",NA,"male_headed",0.477445896716592,NA,0.423507049581846,0.531384743851338,"governorate_gaza","khan_yunis","hh1","refugees",NA,"refugee",0.492393279620402,NA,0.428895176837644,0.55589138240316,"governorate_gaza","khan_yunis","hh1","non_refugees",NA,"non_refugee",0.518503230207372,NA,0.435957071294801,0.601049389119943,"governorate_gaza","khan_yunis","hh1","in_camp_refugee",NA,"in_camp_refugee",0.491935483870968,NA,0.403584977619906,0.58028599012203,"governorate_gaza","khan_yunis","hh1","out_camp_refugee",NA,"out_camp_refugee",0.492489007180622,NA,0.417939197723543,0.567038816637701,"governorate_gaza","khan_yunis","hh1",NA,NA,"all",0.501862432674733,NA,0.45151005011402,0.552214815235446,"governorate_gaza","khan_yunis"
"hh1","female_headed",NA,"female_headed",0.828459915289874,NA,0.76675919240284,0.890160638176908,"governorate_gaza","deir_balah","hh1","male_headed",NA,"male_headed",0.459584598682159,NA,0.42247350392885,0.496695693435467,"governorate_gaza","deir_balah","hh1","refugees",NA,"refugee",0.524251764429301,NA,0.48860688579224,0.559896643066363,"governorate_gaza","deir_balah","hh1","non_refugees",NA,"non_refugee",0.476586062558994,NA,0.369227103311354,0.583945021806634,"governorate_gaza","deir_balah","hh1","in_camp_refugee",NA,"in_camp_refugee",0.491351855486371,NA,0.443628204387566,0.539075506585176,"governorate_gaza","deir_balah","hh1","out_camp_refugee",NA,"out_camp_refugee",0.542757610756436,NA,0.494055920481479,0.591459301031394,"governorate_gaza","deir_balah","hh1",NA,NA,"all",0.517417409647137,NA,0.483191527505881,0.551643291788394,"governorate_gaza","deir_balah"
"hh1","female_headed",NA,"female_headed",0.727376961563759,NA,0.495149184322479,0.959604738805039,"governorate_gaza","gaza","hh1","male_headed",NA,"male_headed",0.489436918706538,NA,0.408944294378687,0.56992954303439,"governorate_gaza","gaza","hh1","refugees",NA,"refugee",0.506522835058917,NA,0.406482773592716,0.606562896525117,"governorate_gaza","gaza","hh1","non_refugees",NA,"non_refugee",0.513778132302285,NA,0.393970883414235,0.633585381190335,"governorate_gaza","gaza","hh1","in_camp_refugee",NA,"in_camp_refugee",0.549180327868853,NA,0.460523064558293,0.637837591179412,"governorate_gaza","gaza","hh1","out_camp_refugee",NA,"out_camp_refugee",0.501374451274455,NA,0.389737287323514,0.613011615225395,"governorate_gaza","gaza","hh1",NA,NA,"all",0.509738297360427,NA,0.432873414434225,0.586603180286628,"governorate_gaza","gaza"
"hh1","female_headed",NA,"female_headed",0.747307436547202,NA,0.582470950413945,0.912143922680459,"governorate_gaza","rafah","hh1","male_headed",NA,"male_headed",0.510716585449654,NA,0.442743764886687,0.57868940601262,"governorate_gaza","rafah","hh1","refugees",NA,"refugee",0.530507806546363,NA,0.463580895009799,0.597434718082928,"governorate_gaza","rafah","hh1","non_refugees",NA,"non_refugee",0.57531952782928,NA,0.364177777845713,0.786461277812847,"governorate_gaza","rafah","hh1","in_camp_refugee",NA,"in_camp_refugee",0.484375,NA,0.39745813099152,0.57129186900848,"governorate_gaza","rafah","hh1","out_camp_refugee",NA,"out_camp_refugee",0.540352432505709,NA,0.461300035602793,0.619404829408625,"governorate_gaza","rafah","hh1",NA,NA,"all",0.535497054032476,NA,0.471634235441862,0.599359872623089,"governorate_gaza","rafah"
"hh1","female_headed",NA,"female_headed",0.774150714186528,NA,0.659756355235756,0.888545073137301,"governorate_gaza","north_gaza","hh1","male_headed",NA,"male_headed",0.413207643111169,NA,0.363081830171819,0.463333456050519,"governorate_gaza","north_gaza","hh1","refugees",NA,"refugee",0.430631861085768,NA,0.376564964001977,0.48469875816956,"governorate_gaza","north_gaza","hh1","non_refugees",NA,"non_refugee",0.491426144115366,NA,0.391086821871503,0.591765466359228,"governorate_gaza","north_gaza","hh1","in_camp_refugee",NA,"in_camp_refugee",0.526315789473684,NA,0.441137526529028,0.61149405241834,"governorate_gaza","north_gaza","hh1","out_camp_refugee",NA,"out_camp_refugee",0.408836779051414,NA,0.345625265104273,0.472048292998555,"governorate_gaza","north_gaza","hh1",NA,NA,"all",0.447496277696193,NA,0.399455441540363,0.495537113852024,"governorate_gaza","north_gaza"
"hh5_i","female_headed",NA,"female_headed",0.730967875630248,NA,0.597445980504008,0.864489770756489,"governorate_gaza","khan_yunis","hh5_i","male_headed",NA,"male_headed",0.487423542092262,NA,0.433310771579718,0.541536312604806,"governorate_gaza","khan_yunis","hh5_i","refugees",NA,"refugee",0.509815659054781,NA,0.446293809399579,0.573337508709983,"governorate_gaza","khan_yunis","hh5_i","non_refugees",NA,"non_refugee",0.527899328208987,NA,0.445492905654861,0.610305750763114,"governorate_gaza","khan_yunis","hh5_i","in_camp_refugee",NA,"in_camp_refugee",0.491935483870968,NA,0.403584977619906,0.58028599012203,"governorate_gaza","khan_yunis","hh5_i","out_camp_refugee",NA,"out_camp_refugee",0.513554500118209,NA,0.43899541176443,0.588113588471988,"governorate_gaza","khan_yunis","hh5_i",NA,NA,"all",0.516373964496022,NA,0.466085569478152,0.566662359513893,"governorate_gaza","khan_yunis"
"hh5_i","female_headed",NA,"female_headed",0.885424812395122,NA,0.833105096327596,0.937744528462649,"governorate_gaza","deir_balah","hh5_i","male_headed",NA,"male_headed",0.456706506871815,NA,0.419618163271942,0.493794850471688,"governorate_gaza","deir_balah","hh5_i","refugees",NA,"refugee",0.516169176686854,NA,0.48043571812618,0.551902635247528,"governorate_gaza","deir_balah","hh5_i","non_refugees",NA,"non_refugee",0.570237803268122,NA,0.464415666711168,0.676059939825076,"governorate_gaza","deir_balah","hh5_i","in_camp_refugee",NA,"in_camp_refugee",0.51910732754933,NA,0.471418201924334,0.566796453174326,"governorate_gaza","deir_balah","hh5_i","out_camp_refugee",NA,"out_camp_refugee",0.514516498302813,NA,0.465527974496151,0.563505022109474,"governorate_gaza","deir_balah","hh5_i",NA,NA,"all",0.523921589053427,NA,0.489714015676178,0.558129162430675,"governorate_gaza","deir_balah"
"hh5_i","female_headed",NA,"female_headed",0.815408610110514,NA,0.614153168462266,1.01666405175876,"governorate_gaza","gaza","hh5_i","male_headed",NA,"male_headed",0.470545432983397,NA,0.390160236473574,0.55093062949322,"governorate_gaza","gaza","hh5_i","refugees",NA,"refugee",0.488438206410708,NA,0.388443799258784,0.588432613562631,"governorate_gaza","gaza","hh5_i","non_refugees",NA,"non_refugee",0.514457483526951,NA,0.394651272285089,0.634263694768812,"governorate_gaza","gaza","hh5_i","in_camp_refugee",NA,"in_camp_refugee",0.508196721311475,NA,0.419119421237801,0.59727402138515,"governorate_gaza","gaza","hh5_i","out_camp_refugee",NA,"out_camp_refugee",0.486053527635201,NA,0.374462308791703,0.5976447464787,"governorate_gaza","gaza","hh5_i",NA,NA,"all",0.499969643631463,NA,0.423096444610822,0.576842842652104,"governorate_gaza","gaza"
"hh5_i","female_headed",NA,"female_headed",0.936393580336549,NA,0.886438140933282,0.986349019739816,"governorate_gaza","rafah","hh5_i","male_headed",NA,"male_headed",0.427636268559065,NA,0.360554688210301,0.494717848907829,"governorate_gaza","rafah","hh5_i","refugees",NA,"refugee",0.500313767532811,NA,0.433151978262195,0.567475556803427,"governorate_gaza","rafah","hh5_i","non_refugees",NA,"non_refugee",0.326155970419512,NA,0.127212595776721,0.525099345062303,"governorate_gaza","rafah","hh5_i","in_camp_refugee",NA,"in_camp_refugee",0.5,NA,0.413040660004862,0.586959339995138,"governorate_gaza","rafah","hh5_i","out_camp_refugee",NA,"out_camp_refugee",0.50038072474244,NA,0.420982626205022,0.579778823279858,"governorate_gaza","rafah","hh5_i",NA,NA,"all",0.480923386477182,NA,0.416869313510658,0.544977459443707,"governorate_gaza","rafah"
"hh5_i","female_headed",NA,"female_headed",0.839481721332402,NA,0.736777659356735,0.942185783308069,"governorate_gaza","north_gaza","hh5_i","male_headed",NA,"male_headed",0.526619038775689,NA,0.475468624213001,0.577769453338376,"governorate_gaza","north_gaza","hh5_i","refugees",NA,"refugee",0.559208668114907,NA,0.504852113217409,0.613565223012405,"governorate_gaza","north_gaza","hh5_i","non_refugees",NA,"non_refugee",0.548868040396118,NA,0.449005079587188,0.648731001205047,"governorate_gaza","north_gaza","hh5_i","in_camp_refugee",NA,"in_camp_refugee",0.518796992481203,NA,0.433560804835569,0.604033180126838,"governorate_gaza","north_gaza","hh5_i","out_camp_refugee",NA,"out_camp_refugee",0.568413722719391,NA,0.504618581120451,0.63220886431833,"governorate_gaza","north_gaza","hh5_i",NA,NA,"all",0.556340163953454,NA,0.508326110860711,0.604354217046196,"governorate_gaza","north_gaza"
"hh5_ii","female_headed",NA,"female_headed",0.269032124369752,NA,0.135510229243511,0.402554019495992,"governorate_gaza","khan_yunis","hh5_ii","male_headed",NA,"male_headed",0.512576457907738,NA,0.458463687395194,0.566689228420282,"governorate_gaza","khan_yunis","hh5_ii","refugees",NA,"refugee",0.490184340945219,NA,0.426662491290017,0.553706190600421,"governorate_gaza","khan_yunis","hh5_ii","non_refugees",NA,"non_refugee",0.472100671791013,NA,0.389694249236886,0.554507094345139,"governorate_gaza","khan_yunis","hh5_ii","in_camp_refugee",NA,"in_camp_refugee",0.508064516129032,NA,0.41971400987797,0.596415022380094,"governorate_gaza","khan_yunis","hh5_ii","out_camp_refugee",NA,"out_camp_refugee",0.486445499881791,NA,0.411886411528012,0.56100458823557,"governorate_gaza","khan_yunis","hh5_ii",NA,NA,"all",0.483626035503978,NA,0.433337640486108,0.533914430521849,"governorate_gaza","khan_yunis"
"hh5_ii","female_headed",NA,"female_headed",0.114575187604878,NA,0.0622554715373513,0.166894903672404,"governorate_gaza","deir_balah","hh5_ii","male_headed",NA,"male_headed",0.543293493128185,NA,0.506205149528312,0.580381836728058,"governorate_gaza","deir_balah","hh5_ii","refugees",NA,"refugee",0.483830823313146,NA,0.448097364752472,0.51956428187382,"governorate_gaza","deir_balah","hh5_ii","non_refugees",NA,"non_refugee",0.429762196731878,NA,0.323940060174925,0.535584333288832,"governorate_gaza","deir_balah","hh5_ii","in_camp_refugee",NA,"in_camp_refugee",0.48089267245067,NA,0.433203546825674,0.528581798075666,"governorate_gaza","deir_balah","hh5_ii","out_camp_refugee",NA,"out_camp_refugee",0.485483501697187,NA,0.436494977890526,0.534472025503849,"governorate_gaza","deir_balah","hh5_ii",NA,NA,"all",0.476078410946573,NA,0.441870837569325,0.510285984323822,"governorate_gaza","deir_balah"
"hh5_ii","female_headed",NA,"female_headed",0.184591389889486,NA,-0.0166640517587625,0.385846831537734,"governorate_gaza","gaza","hh5_ii","male_headed",NA,"male_headed",0.529454567016603,NA,0.44906937050678,0.609839763526426,"governorate_gaza","gaza","hh5_ii","refugees",NA,"refugee",0.511561793589292,NA,0.411567386437369,0.611556200741216,"governorate_gaza","gaza","hh5_ii","non_refugees",NA,"non_refugee",0.485542516473049,NA,0.365736305231188,0.605348727714911,"governorate_gaza","gaza","hh5_ii","in_camp_refugee",NA,"in_camp_refugee",0.491803278688525,NA,0.40272597861485,0.580880578762199,"governorate_gaza","gaza","hh5_ii","out_camp_refugee",NA,"out_camp_refugee",0.513946472364799,NA,0.4023552535213,0.625537691208297,"governorate_gaza","gaza","hh5_ii",NA,NA,"all",0.500030356368537,NA,0.423157157347896,0.576903555389178,"governorate_gaza","gaza"
"hh5_ii","female_headed",NA,"female_headed",0.0636064196634507,NA,0.0136509802601837,0.113561859066718,"governorate_gaza","rafah","hh5_ii","male_headed",NA,"male_headed",0.572363731440935,NA,0.505282151092171,0.639445311789699,"governorate_gaza","rafah","hh5_ii","refugees",NA,"refugee",0.499686232467189,NA,0.432524443196573,0.566848021737805,"governorate_gaza","rafah","hh5_ii","non_refugees",NA,"non_refugee",0.673844029580488,NA,0.474900654937697,0.872787404223279,"governorate_gaza","rafah","hh5_ii","in_camp_refugee",NA,"in_camp_refugee",0.5,NA,0.413040660004862,0.586959339995138,"governorate_gaza","rafah","hh5_ii","out_camp_refugee",NA,"out_camp_refugee",0.49961927525756,NA,0.420221176720142,0.579017373794978,"governorate_gaza","rafah","hh5_ii",NA,NA,"all",0.519076613522818,NA,0.455022540556293,0.583130686489343,"governorate_gaza","rafah"
