"dependent.var","independent.var.value","numbers","repeat.var","Area","Vulnerability Dimension","research.question","Indicator","Percent","Percent_groups","Population Reference"
"e_1","All households",0.380597014925373,"strata","Gaza","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",38,"30% - 39%","HHs with school-aged children"
"e_1","All households",0.345864661654135,"strata","Jabalya Camp","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",35,"30% - 39%","HHs with school-aged children"
"e_1","All households",0.410714285714286,"strata","Juhor ad Dik","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",41,"40% - 49%","HHs with school-aged children"
"e_1","All households",0.396946564885496,"strata","Khan Yunis","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",40,"40% - 49%","HHs with school-aged children"
"e_1","All households",0.37984496124031,"strata","Jabalya","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",38,"30% - 39%","HHs with school-aged children"
"e_1","All households",0.328,"strata","Khuza'a","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",33,"30% - 39%","HHs with school-aged children"
"e_1","All households",0.285714285714286,"strata","Madinat Ezahra","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",29,"20% - 29%","HHs with school-aged children"
"e_1","All households",0.354330708661417,"strata","Al Maghazi Camp","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",35,"30% - 39%","HHs with school-aged children"
"e_1","All households",0.328,"strata","Khan Yunis Camp","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",33,"30% - 39%","HHs with school-aged children"
"e_1","All households",0.380597014925373,"strata","Rafah","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",38,"30% - 39%","HHs with school-aged children"
"e_1","All households",0.34375,"strata","Rafah Camp","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",34,"30% - 39%","HHs with school-aged children"
"e_1","All households",0.275590551181102,"strata","Ash Shati' Camp","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",28,"20% - 29%","HHs with school-aged children"
"e_1","All households",0.605042016806723,"strata","Umm an Naser","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",61,"60% - 69%","HHs with school-aged children"
"e_1","All households",0.319327731092437,"strata","Wadi as Salqa","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",32,"30% - 39%","HHs with school-aged children"
"e_1","Male headed households",0.660377358490566,"strata","Umm an Naser","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",66,"60% - 69%","HHs with school-aged children"
"e_1","Male headed households",0.372549019607843,"strata","Wadi as Salqa","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",37,"30% - 39%","HHs with school-aged children"
"e_1","Female headed households",0,"strata","Wadi as Salqa","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",0,"0% - 9%","HHs with school-aged children"
"e_1","Households with disability",0.411764705882353,"strata","'Abasan al Kabira","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",41,"40% - 49%","HHs with school-aged children"
"e_1","Households without disability",0.315315315315315,"strata","'Abasan al Kabira","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",32,"30% - 39%","HHs with school-aged children"
"e_1","Households without disability",0.429824561403509,"strata","Al Bureij","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",43,"40% - 49%","HHs with school-aged children"
"e_1","Households with disability",0.428571428571429,"strata","Al Bureij","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",43,"40% - 49%","HHs with school-aged children"
"e_1","All households",0.279069767441861,"strata","An Nuseirat Camp","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",28,"20% - 29%","HHs with school-aged children"
"e_1","All households",0.305785123966942,"strata","'Abasan al Jadida (as Saghira)","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",31,"30% - 39%","HHs with school-aged children"
"e_1","All households",0.328125,"strata","'Abasan al Kabira","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",33,"30% - 39%","HHs with school-aged children"
"e_1","All households",0.4296875,"strata","Al Bureij","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",43,"40% - 49%","HHs with school-aged children"
"e_1","All households",0.357142857142857,"strata","Al Fukhkhari","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",36,"30% - 39%","HHs with school-aged children"
"e_1","All households",0.239669421487603,"strata","Al Maghazi","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",24,"20% - 29%","HHs with school-aged children"
"e_1","All households",0.435483870967742,"strata","Al Mughraqa","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",44,"40% - 49%","HHs with school-aged children"
"e_1","All households",0.19047619047619,"strata","Al Musaddar","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",19,"10% - 19%","HHs with school-aged children"
"e_1","All households",0.372093023255814,"strata","Al Qarara","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",37,"30% - 39%","HHs with school-aged children"
"e_1","All households",0.305785123966942,"strata","An Naser","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",31,"30% - 39%","HHs with school-aged children"
"e_1","All households",0.283464566929134,"strata","An Nuseirat","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",28,"20% - 29%","HHs with school-aged children"
"e_1","All households",0.327731092436975,"strata","Shokat as Sufi","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",33,"30% - 39%","HHs with school-aged children"
"e_1","All households",0.27906976744186,"strata","Az Zawayda","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",28,"20% - 29%","HHs with school-aged children"
"e_1","All households",0.323076923076923,"strata","Bani Suheila","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",32,"30% - 39%","HHs with school-aged children"
"e_1","All households",0.434108527131783,"strata","Beit Hanoun","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",43,"40% - 49%","HHs with school-aged children"
"e_1","All households",0.356589147286822,"strata","Beit Lahiya","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",36,"30% - 39%","HHs with school-aged children"
"e_1","All households",0.296875,"strata","Al Bureij Camp","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",30,"30% - 39%","HHs with school-aged children"
"e_1","All households",0.320610687022901,"strata","Deir al Balah","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",32,"30% - 39%","HHs with school-aged children"
"e_1","All households",0.233870967741935,"strata","Deir al Balah Camp","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",23,"20% - 29%","HHs with school-aged children"
"e_1","Male headed households",0.348623853211009,"strata","Khuza'a","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",35,"30% - 39%","HHs with school-aged children"
"e_1","Female headed households",0.1875,"strata","Khuza'a","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",19,"10% - 19%","HHs with school-aged children"
"e_1","Male headed households",0.305555555555556,"strata","Madinat Ezahra","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",31,"30% - 39%","HHs with school-aged children"
