"dependent.var","numbers","repeat.var","Region","Sector","research.question","Indicator","Percent","Percent_groups","Population Reference"
"e_1",0.232062552691546,"REGION","West Bank","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",23,"20% - 29%","HHs with school-aged children"
"e_2",0.0392295842942328,"REGION","West Bank","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",4,"0% - 9%","Total Population"
"e_3",0.188613626231917,"REGION","West Bank","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",19,"10% - 19%","Total Population"
"edu_food_vul",0.448165026173223,"REGION","West Bank","Vulnerability","Education and Food","Education and Food",45,"40% - 49%","Total Population"
"edu_hlth_vul",0.706683397651776,"REGION","West Bank","Vulnerability","Education and Health","Education and Health",71,"70% - 79%","Total Population"
"edu_liv_vul",0.668912246561475,"REGION","West Bank","Vulnerability","Education and Employment ","Education and Employment ",67,"60% - 69%","Total Population"
"edu_pov_vul",0.591477599648229,"REGION","West Bank","Vulnerability","Education and Monetary","Education and Monetary",59,"50% - 59%","Total Population"
"edu_prot_vul",0.536389189561665,"REGION","West Bank","Vulnerability","Education and Protection","Education and Protection",54,"50% - 59%","Total Population"
"edu_shltr_vul",0.501275463434826,"REGION","West Bank","Vulnerability","Education and Shelter","Education and Shelter",50,"50% - 59%","Total Population"
"edu_vul",0.378760218395019,"REGION","West Bank","Education Vulnerability","% of HHs experiencing education vulnerability","% of HHs experiencing education vulnerability",38,"30% - 39%","Total Population"
"edu_wash_vul",0.509856976853467,"REGION","West Bank","Vulnerability","Education and Wash","Education and Wash",51,"50% - 59%","Total Population"
"eight_dim_vul",0.00731387997080592,"REGION","West Bank","Vulnerability","% of HH with eight vulnerabilities dimensions","% of HH with eight vulnerabilities dimensions",1,"0% - 9%","Total Population"
"f_1",0.148983071536626,"REGION","West Bank","Food Security Vulnerability","FIES","% of HHs who reported they either: Ate less OR Went the entire day without eating",15,"10% - 19%","Total Population"
"five_dim_vul",0.0631315558895835,"REGION","West Bank","Vulnerability","% of HH with five vulnerabilities dimensions","% of HH with five vulnerabilities dimensions",6,"0% - 9%","Total Population"
