Indicator.Group.Sector,research.question,sub.research.question,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type
Inter-sectoral coping severity scores,% of HHs with an inter-sectoral severity  coping score of 1,% of HHs with an inter-sectoral severity coping score of 1,,,categorical,hno_severity_coping_1,numerical,direct_reporting
Inter-sectoral coping severity scores,% of HHs with an inter-sectoral severity  coping score of 2,% of HHs with an inter-sectoral severity coping score of 2,,,categorical,hno_severity_coping_2,numerical,direct_reporting
Inter-sectoral coping severity scores,% of HHs with an inter-sectoral severity  coping score of 3,% of HHs with an inter-sectoral severity coping score of 3,,,categorical,hno_severity_coping_3,numerical,direct_reporting
Inter-sectoral coping severity scores,% of HHs with an inter-sectoral severity  coping score of 4,% of HHs with an inter-sectoral severity coping score of 4,,,categorical,hno_severity_coping_4,numerical,direct_reporting
Inter-sectoral coping severity scores,% of HHs with an inter-sectoral severity  coping score of 5,% of HHs with an inter-sectoral severity coping score of 5,,,categorical,hno_severity_coping_5,numerical,direct_reporting
Inter-sectoral  wellbeing severity scores,% of HHs with an inter-sectoral severity  wellbeing score of 1,% of HHs with an inter-sectoral severity wellbeing  score of 1,,,categorical,hno_severity_wellbeing_1,numerical,direct_reporting
Inter-sectoral  wellbeing severity scores,% of HHs with an inter-sectoral severity  wellbeing score of 2,% of HHs with an inter-sectoral severity wellbeing  score of 2,,,categorical,hno_severity_wellbeing_2,numerical,direct_reporting
Inter-sectoral  wellbeing severity scores,% of HHs with an inter-sectoral severity  wellbeing score of 3,% of HHs with an inter-sectoral severity wellbeing  score of 3,,,categorical,hno_severity_wellbeing_3,numerical,direct_reporting
Inter-sectoral  wellbeing severity scores,% of HHs with an inter-sectoral severity  wellbeing score of 4,% of HHs with an inter-sectoral severity wellbeing  score of 4,,,categorical,hno_severity_wellbeing_4,numerical,direct_reporting
Inter-sectoral  wellbeing severity scores,% of HHs with an inter-sectoral severity  wellbeing score of 5,% of HHs with an inter-sectoral severity wellbeing  score of 5,,,categorical,hno_severity_wellbeing_5,numerical,direct_reporting
Inter-sectoral living severity scores,% of HHs with an inter-sectoral living score of 1,% of HHs with an inter-sectoral severity living score of 1,,,categorical,hno_severity_living_1,numerical,direct_reporting
Inter-sectoral living severity scores,% of HHs with an inter-sectoral living score of 2,% of HHs with an inter-sectoral severity living score of 2,,,categorical,hno_severity_living_2,numerical,direct_reporting
Inter-sectoral living severity scores,% of HHs with an inter-sectoral living score of 3,% of HHs with an inter-sectoral severity living score of 3,,,categorical,hno_severity_living_3,numerical,direct_reporting
Inter-sectoral living severity scores,% of HHs with an inter-sectoral living score of 4,% of HHs with an inter-sectoral severity living score of 4,,,categorical,hno_severity_living_4,numerical,direct_reporting
Inter-sectoral living severity scores,% of HHs with an inter-sectoral living score of 5,% of HHs with an inter-sectoral severity living score of 5,,,categorical,hno_severity_living_5,numerical,direct_reporting
Sectoral education severity scores,% of HHs with  sectoral education score of 1,% of HHs with  sectoral severity education score of 1,,,categorical,hno_severity_edu_1,numerical,direct_reporting
Sectoral education severity scores,% of HHs with  sectoral education score of 2,% of HHs with  sectoral severity education score of 2,,,categorical,hno_severity_edu_2,numerical,direct_reporting
Sectoral education severity scores,% of HHs with  sectoral education score of 3,% of HHs with  sectoral severity education score of 3,,,categorical,hno_severity_edu_3,numerical,direct_reporting
Sectoral education severity scores,% of HHs with  sectoral education score of 4,% of HHs with  sectoral severity education score of 4,,,categorical,hno_severity_edu_4,numerical,direct_reporting
Sectoral education severity scores,% of HHs with  sectoral education score of 5,% of HHs with  sectoral severity education score of 5,,,categorical,hno_severity_edu_5,numerical,direct_reporting
