Indicator.Group...Sector,research.question,sub.research.question,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type
HH Profile,% of interviews conducted with the head of household,% of interviews conducted with the head of household,governorate_gaza,,,hh1,numerical,direct_reporting
HH Profile,% of interviews conducted with female participants,% of interviews conducted with female participants,governorate_gaza,,,hh5_i,numerical,direct_reporting
HH Profile,% of interviews conducted with male participants,% of interviews conducted with male participants,governorate_gaza,,,hh5_ii,numerical,direct_reporting
HH Profile,% of female headed households,% of female headed households,governorate_gaza,,,hh6_i,numerical,direct_reporting
HH Profile,% of refugee households,% of refugee households,governorate_gaza,,,hh8,numerical,direct_reporting
HH Profile,% of households reporting at least one pregnant or lactating member,% of households with at least one member pregnant or lactating,governorate_gaza,,,hh10,numerical,direct_reporting
HH Profile,% of households reporting at least one member with a chronic disease,% of households with at least one member with a chronic disease,governorate_gaza,,,hh12,numerical,direct_reporting
HH Displacement,% of HHs displaced as a result of the most recent conflict in Gaza,% of HHs displaced as a result of the most recent conflict in Gaza,governorate_gaza,,,hhd1,numerical,direct_reporting
HH Displacement,% of HHs that have been displaced as a result of the recent conflict and have since returned to their previous location,% of HHs that have been displaced as a result of the recent conflict and have since returned to their previous location,governorate_gaza,,,hhd2,numerical,direct_reporting
HH Displacement,% of HHs currently hosting displaced individuals,% of HHs currently hosting displaced individuals,governorate_gaza,,,hhd3,numerical,direct_reporting
Food Security,"% of HH with {poor, borderline, acceptable} Food Consumption Score (FCS)",Poor,governorate_gaza,,,f1_i,numerical,direct_reporting
Food Security,"% of HH with {poor, borderline, acceptable} Food Consumption Score (FCS)",Borderline,governorate_gaza,,,f1_ii,numerical,direct_reporting
Food Security,"% of HH with {poor, borderline, acceptable} Food Consumption Score (FCS)",Acceptable,governorate_gaza,,,f1_iii,numerical,direct_reporting
Food Security,% HH relying on stress / crisis / emergency strategies to cope with a lack of food or money to buy it,Stress,governorate_gaza,,,fl1_i,numerical,direct_reporting
Food Security,% HH relying on stress / crisis / emergency strategies to cope with a lack of food or money to buy it,Crisis,governorate_gaza,,,fl1_ii,numerical,direct_reporting
Food Security,% HH relying on stress / crisis / emergency strategies to cope with a lack of food or money to buy it,Emergency,governorate_gaza,,,fl1_iii,numerical,direct_reporting
Food Security,% of HHs relying on negative coping strategies to cope with a lack of food or money to buy food by type of coping strategy,residency,governorate_gaza,,,fl2_i,numerical,direct_reporting
Food Security,% of HHs relying on negative coping strategies to cope with a lack of food or money to buy food by type of coping strategy,Children under 18 work to provide resources,governorate_gaza,,,fl2_ii,numerical,direct_reporting
Food Security,% of HHs relying on negative coping strategies to cope with a lack of food or money to buy food by type of coping strategy,Children dropout from school,governorate_gaza,,,fl2_iii,numerical,direct_reporting
Food Security,% of HHs relying on negative coping strategies to cope with a lack of food or money to buy food by type of coping strategy,"Buying food on credit through borrowed money from relatives, friends or financial institutions",governorate_gaza,,,fl2_iv,numerical,direct_reporting
Food Security,% of HHs relying on negative coping strategies to cope with a lack of food or money to buy food by type of coping strategy,Children or adult forcefully married,governorate_gaza,,,fl2_v,numerical,direct_reporting
Food Security,% of HHs relying on negative coping strategies to cope with a lack of food or money to buy food by type of coping strategy,Move children to less expensive school,governorate_gaza,,,fl2_vi,numerical,direct_reporting
Food Security,% of HHs relying on negative coping strategies to cope with a lack of food or money to buy food by type of coping strategy,Whole family are migrating,governorate_gaza,,,fl2_vii,numerical,direct_reporting
Food Security,% of HHs relying on negative coping strategies to cope with a lack of food or money to buy food by type of coping strategy,"Reducing expenditure on non-food items (e.g. health, education)",governorate_gaza,,,fl2_viii,numerical,direct_reporting
Food Security,% of HHs relying on negative coping strategies to cope with a lack of food or money to buy food by type of coping strategy,Accepting that adults engage in risky behaviour,governorate_gaza,,,fl2_ix,numerical,direct_reporting
Food Security,% of HHs relying on negative coping strategies to cope with a lack of food or money to buy food by type of coping strategy,Sold more animals (non-productive) than usual,governorate_gaza,,,fl2_x,numerical,direct_reporting
Food Security,% of HHs relying on negative coping strategies to cope with a lack of food or money to buy food by type of coping strategy,"Selling household properties (refrigerator, television, jewlery…)",governorate_gaza,,,fl2_xi,numerical,direct_reporting
Food Security,% of HHs relying on negative coping strategies to cope with a lack of food or money to buy food by type of coping strategy,"Selling means of transport (cars, motorbike)",governorate_gaza,,,fl2_xii,numerical,direct_reporting
Health,% HH reporting that they can access a hospital within a 30min walk from dwellings,% HH that can access a hospital within a 30min walk from dwellings,governorate_gaza,,,h1,numerical,direct_reporting
Health,% of HH that needed to access health services in the past 3 months,% of HH that needed to access health services in the past 3 months,governorate_gaza,,,h2,numerical,direct_reporting
Health,% of HH that needed to access health services in the past 3 months by type of treatment,COVID-19 testing,governorate_gaza,,,h2_i,numerical,direct_reporting
Health,% of HH that needed to access health services in the past 3 months by type of treatment,COVID-19 treatment,governorate_gaza,,,h2_ii,numerical,direct_reporting
Health,% of HH that needed to access health services in the past 3 months by type of treatment,Examination or non-surgical treatment for other illness,governorate_gaza,,,h2_iii,numerical,direct_reporting
Health,% of HH that needed to access health services in the past 3 months by type of treatment,"Regular check-up/treatment (e.g. For chronic diseases, pregnancy etc.)",governorate_gaza,,,h2_iv,numerical,direct_reporting
Health,% of HH that needed to access health services in the past 3 months by type of treatment,Elective surgery,governorate_gaza,,,h2_v,numerical,direct_reporting
Health,% of HH that needed to access health services in the past 3 months by type of treatment,Emergency surgery,governorate_gaza,,,h2_vi,numerical,direct_reporting
Health,% of HH that needed to access health services in the past 3 months by type of treatment,Giving birth,governorate_gaza,,,h2_vii,numerical,direct_reporting
Health,% of HHs reporting access barriers when trying to access health services in the past 3 months,% of HHs reporting access barriers when trying to access health services in the past 3 months,governorate_gaza,,,h3,numerical,direct_reporting
Health,% of HHs reporting access barriers when trying to access health services in the past 3 months by type of barrier,Cost of services and/or medicine was too high,governorate_gaza,,,h3_i,numerical,direct_reporting
Health,% of HHs reporting access barriers when trying to access health services in the past 3 months by type of barrier,Authorities refused to facilitate transfer,governorate_gaza,,,h3_ii,numerical,direct_reporting
Health,% of HHs reporting access barriers when trying to access health services in the past 3 months by type of barrier,Problems with civil documents,governorate_gaza,,,h3_iii,numerical,direct_reporting
Health,% of HHs reporting access barriers when trying to access health services in the past 3 months by type of barrier,Public health clinic or hospital did not provide referral,governorate_gaza,,,h3_iv,numerical,direct_reporting
Health,% of HHs reporting access barriers when trying to access health services in the past 3 months by type of barrier,Public health clinic not open,governorate_gaza,,,h3_v,numerical,direct_reporting
Health,% of HHs reporting access barriers when trying to access health services in the past 3 months by type of barrier,Movement to and/or from the healthcare facility was restricted by checkpoints or other barriers,governorate_gaza,,,h3_vi,numerical,direct_reporting
Health,% of HHs reporting access barriers when trying to access health services in the past 3 months by type of barrier,The treatment center was too far away / Transportation constraints,governorate_gaza,,,h3_vii,numerical,direct_reporting
