X_uuid;difficulty_sex;difficulty_age;difficulty_seeing;difficulty_hearing;difficulty_walking;difficulty_remembering;difficulty_washing;difficulty_communicating
64b57654-72e7-4c98-8ef9-231032485c08;female;70;;;cannot_do_at_all;;;
bab7c5c2-b519-4427-9ca5-1b4a7a49aa94;male;58;some_difficulty;;;;;
5736020d-08b8-4e5f-ae7d-ec070deecd67;male;66;;some_difficulty;;;;
79d79e88-8cba-400b-8332-b41236fa8bb0;male;28;a_lot_of_difficulty;;;;;
bdaf4a86-592d-4dc7-80b3-83b5069de065;female;70;;;a_lot_of_difficulty;;;
9b4e40eb-c26b-4bf7-aa46-76143fb9b946;male;4;;;;;;
f2f33b21-c9e2-4c36-88f7-37eca453ac64;female;62;some_difficulty;;;;;
7ab37a74-187a-47e2-9bb7-8d069411c941;male;25;;;a_lot_of_difficulty;;;
7897c72b-d0a9-48c6-8140-2a98018dc2d1;male;12;a_lot_of_difficulty;;;;;
7897c72b-d0a9-48c6-8140-2a98018dc2d1;male;9;a_lot_of_difficulty;;;;;
7897c72b-d0a9-48c6-8140-2a98018dc2d1;female;7;a_lot_of_difficulty;;;;;
f13a1c72-949d-4c9d-b29f-db46fbbc5958;male;20;;;;a_lot_of_difficulty;;a_lot_of_difficulty
a774e1bd-cff5-4a11-8314-3e532942d323;male;37;a_lot_of_difficulty;;;;;
11cdddb7-ba17-49c1-be56-a7c1fa9e5c8e;male;75;;a_lot_of_difficulty;;;;
14648937-e498-47be-8d58-011eb79859d6;male;38;;;;a_lot_of_difficulty;;
5b525863-db8d-483e-b005-66945489aa76;female;74;;;a_lot_of_difficulty;;;
f774a424-2ff3-42e1-b28d-54689a5c1b5f;male;28;;;some_difficulty;;;
7da3cf84-fa05-40a0-ba8c-9bf332dfcf41;male;59;;;some_difficulty;;;
2141f955-88af-4761-bf0d-53480bf91b78;female;70;;;cannot_do_at_all;a_lot_of_difficulty;a_lot_of_difficulty;some_difficulty
77188167-95e1-4f1b-a3ed-24d7e573f59d;male;76;some_difficulty;;no_difficulty;;;
77188167-95e1-4f1b-a3ed-24d7e573f59d;female;74;no_difficulty;;a_lot_of_difficulty;;;
9d7dc22c-7edd-465d-a4bc-f73ab36dbaaa;male;21;some_difficulty;;;;;
ae9c42a6-5d5f-4896-98ae-174cc632cfe3;male;7;;;cannot_do_at_all;;cannot_do_at_all;
540b85aa-5ccd-4c22-88d2-3b00735f12d9;female;30;some_difficulty;;;;;
dffd297a-caf3-4c6e-bdc7-8b779eb0a850;male;40;a_lot_of_difficulty;;;;;
