Indicator.Group.Sector,research.question,sub.research.question,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type
Livelihoods,"% of HHs where at least one member has lost their job PERMANENTLY as a result of COVID
","% of HHs where at least one member has lost their job PERMANENTLY as a result of COVID
",,,categorical,ln1,numerical,direct_reporting
Livelihoods,"% of HHs where at least one member has lost their job TEMPORARILY as a result of covid
","% of HHs where at least one member has lost their job TEMPORARILY as a result of covid
",,,categorical,ln2,numerical,direct_reporting
Livelihoods,% of HHs with an average food expenditure share of 0-30%,% of HHs with an average food expenditure share of 0-30%,,,categorical,ln3,numerical,direct_reporting
Livelihoods,% of HHs with an average food expenditure share of 30-60%,% of HHs with an average food expenditure share of 30-60%,,,categorical,ln4,numerical,direct_reporting
Livelihoods,% of HHs with an average food expenditure share of > 60%,% of HHs with an average food expenditure share of > 60%,,,categorical,ln5,numerical,direct_reporting
Livelihoods,"% of HHs who report not using any stress, crisis or emergency coping strategies","% of HHs who report not using any stress, crisis or emergency coping strategies",,,categorical,ln6,numerical,direct_reporting
Livelihoods,% of HHs with an income PER PERSON of < 100,% of HHs with an income PER PERSON of < 100,,,categorical,ln7_i,numerical,direct_reporting
Livelihoods,% of HHs with an income PER PERSON of 100-200,% of HHs with an income PER PERSON of 100-200,,,categorical,ln7_ii,numerical,direct_reporting
Livelihoods,% of HHs with an income PER PERSON of 200-400,% of HHs with an income PER PERSON of 200-400,,,categorical,ln7_iii,numerical,direct_reporting
Livelihoods,% of HHs with an income PER PERSON of > 400,% of HHs with an income PER PERSON of > 400,,,categorical,ln7_iv,numerical,direct_reporting
Livelihoods,% of HHs with a debt value of 0,% of HHs with a debt value of 0,,,categorical,ln8,numerical,direct_reporting
Livelihoods,"% of HHs with a debt value of 0-5,000","% of HHs with a debt value of 0-5,000",,,categorical,ln9,numerical,direct_reporting
Livelihoods,"% of HHs with a debt value of 5000-20,000","% of HHs with a debt value of 5000-20,000",,,categorical,ln10,numerical,direct_reporting
Livelihoods,"% of HHs with a debt value of >20,000","% of HHs with a debt value of >20,000",,,categorical,ln11,numerical,direct_reporting
Protection,% of hhs where women and girls avoid certain areas because unsafe BY AREA that they avoid,At the workplace                                                            ,,,categorical,ln12_i,numerical,direct_reporting
Protection,% of hhs where women and girls avoid certain areas because unsafe BY AREA that they avoid,Latrines and bathing facilities,,,categorical,ln12_ii,numerical,direct_reporting
Protection,% of hhs where women and girls avoid certain areas because unsafe BY AREA that they avoid,Water points                                                               ,,,categorical,ln12_iii,numerical,direct_reporting
Protection,% of hhs where women and girls avoid certain areas because unsafe BY AREA that they avoid,Distribution areas,,,categorical,ln12_iv,numerical,direct_reporting
Protection,% of hhs where women and girls avoid certain areas because unsafe BY AREA that they avoid,Near settlements/ when crossing checkpoints/ Near ARA (Gaza),,,categorical,ln12_v,numerical,direct_reporting
Protection,% of hhs where women and girls avoid certain areas because unsafe BY AREA that they avoid,Markets,,,categorical,ln12_vi,numerical,direct_reporting
Protection,% of hhs where women and girls avoid certain areas because unsafe BY AREA that they avoid,Social/community areas,,,categorical,ln12_vii,numerical,direct_reporting
Protection,% of hhs where women and girls avoid certain areas because unsafe BY AREA that they avoid,On public transportation  ,,,categorical,ln12_viii,numerical,direct_reporting
Protection,% of hhs where women and girls avoid certain areas because unsafe BY AREA that they avoid,On their way to school                         ,,,categorical,ln12_ix,numerical,direct_reporting
Protection,% of hhs where women and girls avoid certain areas because unsafe BY AREA that they avoid,On their way to women community centers/health centers,,,categorical,ln12_x,numerical,direct_reporting
Protection,% of hhs where women and girls avoid certain areas because unsafe BY AREA that they avoid,While seeking/receiving humanitarian aid - e.g. e-vouchers,,,categorical,ln12_xi,numerical,direct_reporting
Shelter,"% of households reporting that their shelter has any kind of damage or defects, by type of damage or defect",None,,,categorical,ln13_i,numerical,direct_reporting
Shelter,"% of households reporting that their shelter has any kind of damage or defects, by type of damage or defect",Opening or cracks in roof,,,categorical,ln13_ii,numerical,direct_reporting
Shelter,"% of households reporting that their shelter has any kind of damage or defects, by type of damage or defect",Roof partially collapsed,,,categorical,ln13_iii,numerical,direct_reporting
Shelter,"% of households reporting that their shelter has any kind of damage or defects, by type of damage or defect",Broken or cracked windows,,,categorical,ln13_iv,numerical,direct_reporting
Shelter,"% of households reporting that their shelter has any kind of damage or defects, by type of damage or defect",Exterior doors broken / unable to shut properly,,,categorical,ln13_v,numerical,direct_reporting
Shelter,"% of households reporting that their shelter has any kind of damage or defects, by type of damage or defect",Exterior doors or windows missing,,,categorical,ln13_vi,numerical,direct_reporting
Shelter,"% of households reporting that their shelter has any kind of damage or defects, by type of damage or defect",Large cracks / openings in most walls,,,categorical,ln13_vii,numerical,direct_reporting
Shelter,"% of households reporting that their shelter has any kind of damage or defects, by type of damage or defect",Some cracks in some walls,,,categorical,ln13_viii,numerical,direct_reporting
Shelter,"% of households reporting that their shelter has any kind of damage or defects, by type of damage or defect",Some walls fully collapsed,,,categorical,ln13_ix,numerical,direct_reporting
Shelter,"% of households reporting that their shelter has any kind of damage or defects, by type of damage or defect",Damaged floors,,,categorical,ln13_x,numerical,direct_reporting
Shelter,"% of households reporting that their shelter has any kind of damage or defects, by type of damage or defect",Severe structural damage and unsafe for living,,,categorical,ln13_xi,numerical,direct_reporting
Shelter,"% of households reporting that their shelter has any kind of damage or defects, by type of damage or defect",Total structural collapse,,,categorical,ln13_xii,numerical,direct_reporting
Shelter,"% of households reporting that their shelter has any kind of damage or defects, by type of damage or defect",Foundation damaged or shifted,,,categorical,ln13_xiii,numerical,direct_reporting
Shelter,"% of households reporting that their shelter has any kind of damage or defects, by type of damage or defect","Gas, water or sewage system damaged",,,categorical,ln13_xiv,numerical,direct_reporting
Shelter,"% of households reporting that their shelter has any kind of damage or defects, by type of damage or defect",Electricity supply line damaged and not functional,,,categorical,ln13_xv,numerical,direct_reporting
WASH,% of HHs having access to sanitation facility items BY TYPE OF ITEM,None,,,categorical,ln14_i,numerical,direct_reporting
WASH,% of HHs having access to sanitation facility items BY TYPE OF ITEM,Toilet seat,,,categorical,ln14_ii,numerical,direct_reporting
WASH,% of HHs having access to sanitation facility items BY TYPE OF ITEM,Bidet,,,categorical,ln14_iii,numerical,direct_reporting
WASH,% of HHs having access to sanitation facility items BY TYPE OF ITEM,Toilet Niagara,,,categorical,ln14_iv,numerical,direct_reporting
WASH,% of HHs having access to sanitation facility items BY TYPE OF ITEM,Handwashing station (in or beside the latrine),,,categorical,ln14_v,numerical,direct_reporting
WASH,% of HHs having access to sanitation facility items BY TYPE OF ITEM,Soap,,,categorical,ln14_vi,numerical,direct_reporting
WASH,% of HHs having access to sanitation facility items BY TYPE OF ITEM,Toilet paper,,,categorical,ln14_vii,numerical,direct_reporting
WASH,% of HHs by DRINKING Water Source,Water Trucking,,,categorical,ln15_i,numerical,direct_reporting
WASH,% of HHs by DRINKING Water Source,Piped water into compound,,,categorical,ln15_ii,numerical,direct_reporting
WASH,% of HHs by DRINKING Water Source,Piped water connected to public tap,,,categorical,ln15_iii,numerical,direct_reporting
WASH,% of HHs by DRINKING Water Source,Borehole,,,categorical,ln15_iv,numerical,direct_reporting
WASH,% of HHs by DRINKING Water Source,Illegal connection to piped network,,,categorical,ln15_v,numerical,direct_reporting
WASH,% of HHs by DRINKING Water Source,"Surface water without pre-treatment (river, dam, lake, pond, stream, canal)",,,categorical,ln15_vi,numerical,direct_reporting
WASH,% of HHs by DRINKING Water Source,Bottled water,,,categorical,ln15_vii,numerical,direct_reporting
WASH,% of HHs by DRINKING Water Source,Protected well,,,categorical,ln15_viii,numerical,direct_reporting
WASH,% of HHs by DRINKING Water Source,Unprotected well,,,categorical,ln15_ix,numerical,direct_reporting
WASH,% of HHs by DRINKING Water Source,Protected spring,,,categorical,ln15_x,numerical,direct_reporting
WASH,% of HHs by DRINKING Water Source,Unprotected spring,,,categorical,ln15_xi,numerical,direct_reporting
WASH,% of HHs by DRINKING Water Source,Protected rainwater tank,,,categorical,ln15_xii,numerical,direct_reporting
AAP,% of HH who received cash and reported delays_in_delivery ,% of HH who received cash and reported delays_in_delivery ,,,categorical,ln16_i,numerical,direct_reporting
AAP,% of HH who received cash and reported quality_not_good,% of HH who received cash and reported quality_not_good,,,categorical,ln16_ii,numerical,direct_reporting
AAP,% of HH who received cash and reported quantity_not_enough,% of HH who received cash and reported quantity_not_enough,,,categorical,ln16_iii,numerical,direct_reporting
AAP,% of HH who received food and reported delays_in_delivery,% of HH who received food and reported delays_in_delivery,,,categorical,ln17_i,numerical,direct_reporting
